20.00 ns MAR:          0
70.00 ns MAR:          4
120.00 ns MAR:          8
210.00 ns MAR:        432
260.00 ns MAR:        436
310.00 ns MAR:        440
360.00 ns MAR:        444
410.00 ns MAR:        448
460.00 ns MAR:        452
510.00 ns MAR:        456
560.00 ns MAR:        460
610.00 ns MAR:        464
660.00 ns MAR:        468
710.00 ns MAR:        472
760.00 ns MAR:        476
810.00 ns MAR:        480
870.00 ns MAR:        484
920.00 ns MAR:         12
960.00 ns MAR:        384
1000.00 ns MAR:         16
1050.00 ns MAR:         20
1100.00 ns MAR:         24
1140.00 ns MAR:        388
1180.00 ns MAR:         28
1230.00 ns MAR:         32
1290.00 ns MAR:         36
1340.00 ns MAR:         72
1430.00 ns MAR:         76
1490.00 ns MAR:         80
1530.00 ns MAR:        392
1570.00 ns MAR:        124
1660.00 ns MAR:        128
1710.00 ns MAR:        132
1770.00 ns MAR:        136
1810.00 ns MAR:        396
1850.00 ns MAR:         96
1940.00 ns MAR:        272
1980.00 ns MAR:        352
2020.00 ns MAR:        276
2060.00 ns MAR:        356
2100.00 ns MAR:        280
2160.00 ns MAR:        284
2210.00 ns MAR:        488
2260.00 ns MAR:        492
2310.00 ns MAR:        496
2360.00 ns MAR:        500
2420.00 ns MAR:        504
2510.00 ns MAR:        272
2550.00 ns MAR:        360
2590.00 ns MAR:        276
2630.00 ns MAR:        364
2670.00 ns MAR:        280
2730.00 ns MAR:        284
2780.00 ns MAR:        488
2830.00 ns MAR:        492
2880.00 ns MAR:        496
2930.00 ns MAR:        500
2990.00 ns MAR:        504
3080.00 ns MAR:        272
3120.00 ns MAR:        368
3160.00 ns MAR:        276
3200.00 ns MAR:        372
3240.00 ns MAR:        280
3300.00 ns MAR:        284
3350.00 ns MAR:        488
3400.00 ns MAR:        492
3450.00 ns MAR:        496
3500.00 ns MAR:        500
3560.00 ns MAR:        504
3650.00 ns MAR:        272
3690.00 ns MAR:        376
3730.00 ns MAR:        276
3770.00 ns MAR:        380
3810.00 ns MAR:        280
3870.00 ns MAR:        284
3920.00 ns MAR:        488
3970.00 ns MAR:        492
